SNID,type,npoints_g,residuo_g,coeff1_g,maxflux_g,npoints_r,residuo_r,coeff1_r,maxflux_r
ZTFaaggyljr,51,1,0.0,7.456466231559759,330.81276454986005,1,0.0,7.456466231559759,265.4405844771775
ZTFaavjcsxh,51,2,0.08026799342507039,5.967377721672109,297.9605690701169,3,0.017520990971112517,6.690135896927855,494.68131992118236
ZTFacljhhjp,51,2,0.41407393669520837,4.278244764455624,46095.7565688721,4,0.26704653049477856,4.405002709561444,22362.16609539008
ZTFacuttxdz,51,2,0.004585543041516041,7.09958607239331,818.290782223914,3,0.0782233074536868,6.0100761631480175,282.06311305996985
ZTFadlrymkz,51,1,0.0,7.456466231559759,288.18525060206355,1,0.0,7.456466231559759,403.2343687542231
ZTFaeccpopq,51,1,0.0,7.456466231559759,263.37220293750335,2,0.009198868070120969,6.950997596880694,218.04635980660598
ZTFaecshkrw,51,4,0.28949418932020116,6.178941319992401,821.8278150416199,3,0.15171619108412718,5.98281922402108,579.6350762783198
ZTFaeljpfan,51,1,0.0,7.456466231559759,236.8469153517899,1,0.0,7.456466231559759,460.33579917964033
ZTFafuficft,51,1,0.0,7.456466231559759,402.3129726698068,4,0.4832715966212507,3.1493800414271966,5316.050116426717
ZTFagftxhyx,51,2,0.005521572603796155,7.064888298433177,198.21699488658956,1,0.0,7.456466231559759,239.87029220206978
ZTFaglvqtxe,51,1,0.0,7.456466231559759,956.2177400428777,3,0.24254500465896656,4.834707163787233,2638.1982436805306
ZTFahzcbcpm,51,2,0.19546497416315342,5.136378752945792,596.3000979244623,3,0.19297564356599115,4.8060905990331,587.025579868553
ZTFajvrdkfa,51,4,0.31366675465727717,5.078399832355924,1917.9250511034686,4,0.32271126989426613,3.9791379203353734,2466.450545518928
ZTFakflowkk,51,3,0.22745843072387995,4.9987107295121795,1286.4718112433334,2,0.004272870473520431,7.111968092072028,569.1481378260964
ZTFalbctmci,51,1,0.0,7.456466231559759,215.15157454284588,2,0.11962429924278835,5.638612179139638,608.9015666024914
ZTFalgxepnb,51,2,0.1256119977375457,5.593672058879616,498.2831564605295,3,0.32427592151183393,4.138897753935563,1343.0406866670537
ZTFanaoohpw,51,1,0.0,7.456466231559759,597.2048669729732,3,0.04295081675371152,6.715266392319322,633.8207840648828
ZTFanaufrgh,51,1,0.0,7.456466231559759,225.69757504163246,1,0.0,7.456466231559759,360.528291328078
ZTFanrqkquo,51,1,0.0,7.456466231559759,201.78037580314975,2,0.14744656331749212,5.438254917180815,556.1013129784527
ZTFanrzyvfw,51,3,0.4513119617664438,3.6055443395580316,8882.041500579051,3,0.1995520665278465,4.79659818663305,1787.7986556223086
ZTFaqorpbyx,51,2,0.057141174356076484,6.198647179415683,317.3939843943822,2,0.03747082258643685,6.453448294876657,379.8597439959156
ZTFaqqaiiyu,51,2,0.2328742943621891,4.929611519726235,4075.5184839834465,4,0.40299419095453914,3.6646516936810034,6149.941218341416
ZTFaqtbfeoe,51,3,0.2712619642075551,5.447139437430158,786.6681848218064,1,0.0,7.456466231559759,676.2526842049097
ZTFaqxakhuj,51,1,0.0,7.456466231559759,177.86150352380398,2,0.00038523389769854697,7.3536925904536545,299.24550456743674
ZTFargmlqpm,51,2,0.13015678520418952,5.5581131375063695,833.6332323897972,3,0.24125682521359706,4.528904091052856,865.7875557709431
ZTFasckvqkp,51,2,0.010684321959201357,6.912568720936888,253.1908891110687,3,0.2668477437265756,5.173089969912037,870.2733849112105
ZTFaskxdvtn,51,2,0.3475722174080668,4.401653350707638,1732.470930358273,4,0.4171650640230791,4.942740024820537,3220.7727674108005
ZTFasxvcgut,51,1,0.0,7.456466231559759,347.247300996884,2,0.1249749164905016,5.610589901042674,526.1417740128504
ZTFatxyasev,51,1,0.0,7.456466231559759,407.02892757074255,4,0.4855227591058664,4.813295871878055,1916.2725261894755
ZTFaukfwvia,51,1,0.0,7.456466231559759,213.95181284759315,2,0.26826316342327217,4.761481267164761,655.9208049534463
ZTFauzksxoc,51,1,0.0,7.456466231559759,774.8434364254107,1,0.0,7.456466231559759,618.6941157159374
ZTFavqmimyb,51,1,0.0,7.456466231559759,708.6192766564776,3,0.13337433776570767,5.268421875423564,493.02064994465456
ZTFawsgkajy,51,2,0.032844722065431875,6.501342111905536,779.9539450432809,1,0.0,7.456466231559759,162.15852980897304
ZTFawtuxcqq,51,1,0.0,7.456466231559759,1611.6880395806857,2,0.21127252230073268,5.064817827828363,1928.3659361976563
ZTFayoektvp,51,3,0.32345386691102324,4.316726940211709,2715.937742770974,3,0.42091041348578906,3.6685082255079347,4487.706606620866
ZTFazehufed,51,1,0.0,7.456466231559759,328.2239571597046,4,0.23641681862606118,5.499469623523683,386.37611914394364
ZTFazxkluhk,51,3,0.26360661398036983,4.354293971935979,5036.974894079155,3,0.02431967306339221,6.977883932941061,4307.051574393552
ZTFbaohzttl,51,3,0.5346832540760587,3.081878802632216,3914.7421419011503,2,0.327041620820491,4.740120656771276,19765.647413231873
ZTFbbhtdaou,51,1,0.0,7.456466231559759,2404.7805271050725,4,0.11534966499455052,6.181964197098427,3479.6476896422764
ZTFbduyyqck,51,1,0.0,7.456466231559759,239.144816574007,2,9.790544421200628e-05,7.404285175489825,578.943896011681
ZTFbellrrxq,51,3,0.3909537710103954,3.8649056578411947,3138.760173578224,2,0.2549475274872896,4.921476792522313,6435.57097728108
ZTFbfkafloo,51,1,0.0,7.456466231559759,238.5016058053223,2,0.03946380336350046,6.409611825193293,375.2166858359214
ZTFbghclxpq,51,1,0.0,7.456466231559759,3163.256074507267,2,0.29639797009614005,4.791400472345985,2510.4152273127042
ZTFbipeqcnn,51,1,0.0,7.456466231559759,1396.6468322667613,2,0.31693881178960287,4.782405787665394,4519.731592243438
ZTFbiutzpzf,51,1,0.0,7.456466231559759,948.6782668981552,2,0.053813012655646385,6.2372156752806225,290.3802578478037
ZTFbkfkjsiw,51,1,0.0,7.456466231559759,371.56364463180415,2,0.1741933072931904,5.262827822140628,3538.310279806161
ZTFbkhdstkg,51,1,0.0,7.456466231559759,2184.5680365624753,1,0.0,7.456466231559759,246.44912560460307
ZTFbknbjceu,51,3,0.2692376342786101,4.896678004158598,3226.810978286689,4,0.5209456157180827,2.925343539449156,4152.281626985227
ZTFblnkmzef,51,1,0.0,7.456466231559759,205.02581643479695,1,0.0,7.456466231559759,253.78814462087524
ZTFbmrxjfed,51,1,0.0,7.456466231559759,252.06886609058697,2,0.08207231283064072,5.947657700513466,740.32103747513
ZTFbnbiogay,51,3,0.24568864204548338,4.70751284199137,1976.864849542246,1,0.0,7.456466231559759,1583.4895207732138
ZTFbnzfuzkr,51,2,0.4007140159893715,4.134561649891936,2522.8150404023545,2,0.3719946970629688,4.271832082546806,2958.4061957598815
ZTFbobjwpzf,51,1,0.0,7.456466231559759,950.8088547679724,3,0.4089079499411318,3.7461975596077957,3332.797398340136
ZTFbohohxsi,51,1,0.0,7.456466231559759,1227.5461993985402,2,0.03196138212065793,6.515754925751463,1080.430399985102
ZTFbonapmjv,51,3,0.031019707157830506,6.402642135581341,234.36802704823572,1,0.0,7.456466231559759,276.48762160661846
ZTFbonpcdvo,51,2,0.1503184579639822,5.4186948192007955,813.9667343034671,3,0.2856098344566794,4.344792679336937,791.7159404915657
ZTFboogzhph,51,1,0.0,7.456466231559759,225.634050492394,2,0.30390616460186487,4.599981936178191,3499.118115106633
ZTFbpdwayqq,51,1,0.0,7.456466231559759,539.4534720985943,2,0.22348793740324882,5.00690032075629,633.7978333658812
ZTFbpgalqsl,51,2,0.2509481313360723,4.8499057365708795,1409.8693793481673,2,0.23332880890021682,5.031336733702334,1980.4537617780823
ZTFbphfcqkg,51,1,0.0,7.456466231559759,326.5803930853863,1,0.0,7.456466231559759,521.6264354579213
ZTFbqhkmutk,51,4,0.6452236037465459,2.4899959343395426,27100.605811479665,4,0.21887462150889442,5.130701895641603,8059.316791125078
ZTFbqjhwazx,51,2,0.03563635857437179,6.461579412916283,1586.717633596801,3,0.1579764714767573,5.175219100858598,2740.117435565161
ZTFbqvrnazl,51,1,0.0,7.456466231559759,382.8115691014811,3,0.321462412700054,4.418483087415074,1894.340193485898
ZTFbrgylmay,51,1,0.0,7.456466231559759,672.1539479075832,3,0.3042470489591897,5.864948550852715,697.5490011544316
ZTFbsjdggce,51,3,0.26509019044058624,4.570285031887029,3784.9602793286363,3,0.23827297852575927,4.9982824608011525,5055.738053478749
ZTFbtketpsv,51,1,0.0,7.456466231559759,1102.5821533326916,3,0.07250440199922166,5.845743778692865,1746.4795766099544
ZTFbtoniskh,51,1,0.0,7.456466231559759,194.42080893218727,4,0.29995461435266446,3.9779402981236927,1402.0598105267718
ZTFbtwhrloq,51,2,0.1302974866448861,5.55708734054618,1094.279381494132,3,0.21323049141002573,4.844833457051578,1219.1575941737221
ZTFbtyzwhfv,51,1,0.0,7.456466231559759,172.71061498166424,1,0.0,7.456466231559759,437.5500843762965
ZTFbuifjkhf,51,1,0.0,7.456466231559759,297.35221292943726,2,0.025694605028631846,6.619120259195937,483.46749534636274
ZTFbusvjbxt,51,1,0.0,7.456466231559759,754.6982469315885,3,0.3106702159902773,5.547678847035704,1290.060688481209
ZTFbutjsmnw,51,2,0.3589012388272707,4.339276015395564,1223.5720646884745,2,0.18428489408883758,5.222787574846416,746.8776369351268
